id,name,content
tracker-phan-3,Tracker (Phần 3),"Colter Shaw, một người đàn ông có kỹ năng sinh tồn điêu luyện và lối sống cô độc, rong đuổi khắp đất nước với tư cách là một &#39;kẻ tìm kiếm phần thưởng&#39;. Anh sử dụng khả năng theo dấu bậc thầy của mình để giúp đỡ những người dân thường và lực lượng hành pháp giải quyết mọi loại bí ẩn, đồng thời phải đối mặt với những rạn nứt và bóng ma quá khứ từ chính gia đình mình."
ngoi-nha-cua-nhung-loi-doi-tra,Ngôi Nhà Của Những Lời Dối Trá,"Seo I-do, một sát thủ chuyên nghiệp, được giao nhiệm vụ thủ tiêu Heo Dong-hwa tại một căn nhà biệt lập. Tuy nhiên, trước khi hoàn thành nhiệm vụ, anh bất ngờ nhận lệnh phải giữ Dong-hwa sống và giam giữ anh ta thay vì giết chết. Mọi chuyện trở nên phức tạp khi Chu Tae-jeong xuất hiện. Tae-jeong là bạn cũ của Dong-hwa và vô tình nhầm I-do là em trai của Dong-hwa. Để che giấu thân phận thật, I-do tiếp tục sống trong lời nói dối đó. Nhưng anh sớm phát hiện Tae-jeong thực chất là một cảnh sát đang điều tra những bí mật xoay quanh căn nhà và những người trong đó. Trong khi cố giữ bí mật về thân phận sát thủ của mình, I-do dần nảy sinh tình cảm với Tae-jeong. Tình yêu ngày càng lớn khiến anh phải lựa chọn giữa hoàn thành nhiệm vụ và bảo vệ người mình yêu. Khi những bí mật trong quá khứ lần lượt bị phơi bày, tất cả đều phải đối mặt với sự thật đằng sau &quot;ngôi nhà nơi những lời dối trá sinh sống&quot;."
tinh-yeu-co-phao-hoa,Tình Yêu Có Pháo Hoa,"Tình Yêu Có Pháo Hoa là bộ phim tình cảm đô thị xoay quanh Lý Diệc Phi, một chuyên gia ngân hàng đầu tư sa cơ sau thất bại trong công việc, và Tiền Phi, cô gái đang chật vật đối mặt với cú sốc thất tình lẫn thất nghiệp. Tình cờ trở thành bạn cùng nhà để giảm bớt gánh nặng tài chính, cả hai liên tục va chạm vì khác biệt về tính cách, hoàn cảnh và quan điểm sống. Thế nhưng qua những ngày chung sống đầy dở khóc dở cười, họ dần thấu hiểu, động viên và giúp nhau trưởng thành, từ đó viết nên một câu chuyện tình yêu ngọt ngào giữa lòng thành phố hiện đại."
mac-ly,Mạc Ly,"Trưởng nữ Diệp Ly của Diệp Phủ được gả sang Định Vương Phủ suy tàn, 
thành thân với kẻ tàn tật hai chân là Định Vương Mặc Tu Nghiêu. Ngày 
Diệp Ly xuất giá, Lê Vương Mặc Cảnh Lê cũng thành thân với thứ nữ Diệp 
Phủ là Diệp Oánh. Là hậu duệ Ly Sơn, Diệp Ly từng bị nhốt trong núi 8 
năm. Sau khi thành thân, bề ngoài nàng tỏ ra an phận, nhưng thực chất 
lại âm thầm lên kế hoạch loại bỏ từng kẻ từng hãm hại Ly Sơn năm xưa. 
Trong quá trình ấy, nàng vấp phải sự nghi ngờ của Mặc Tu Nghiêu, người 
cũng đang nuôi chí báo thù. Hai người mỗi bên đều âm thầm hành động, 
khiến mặt hồ tưởng chừng bình lặng dậy sóng. Mặc Cảnh Lê vốn là thanh 
mai trúc mã của Diệp Ly, mang tiếng là một &quot;Vương gia mê hí khúc&quot;, hắn 
lại âm thầm thao túng thế cuộc, nung nấu dã tâm đoạt ngôi. Cuối cùng, 
Diệp Ly và Mặc Tu Nghiêu liên thủ phò tá tiểu hoàng đế chấp chính, liên 
tiếp phá tan âm mưu của Mộc Dương Hầu và Lê Vương, mang lại cảnh thái 
bình cho thiên hạ."
gia-thien,Già Thiên,"Ở tận cùng vũ trụ, nơi vô cùng lạnh lẽo và tối tăm, chín xác rồng khổng lồ kéo một cỗ quan tài bằng đồng cổ kính, tồn tại suốt từ thời xa xưa. Đây là hình ảnh cực sốc mà tàu thám hiểm không gian đã thấy được trong vũ trụ hiu quạnh. Chín con rồng kéo quan tài, rốt cuộc là trở về thời cổ đại hay đã đến bên kia bầu trời đầy sao? Một thế giới tiên hiệp rộng lớn, kỳ dị và đầy bí ẩn. Nhiệt huyết sục sôi như núi lửa phun trào, đam mê cuồn cuộn như biển cả, ham muốn vô tận như vực thẳm... Đường lên trời, rộn tiếng ca vang."
song-trinh,Song Trình,"Hai chàng trai từng yêu nhau thời trung học bị gia đình và xã hội chia cắt. Nhiều năm sau, họ gặp lại khi một người trở thành cấp trên của người kia, từ đó phải đối mặt với tình yêu cũ, hiểu lầm và những tổn thương chưa thể chữa lành."
ranh-gioi-binh-minh-rang-dong,Ranh Giới Bình Minh (Rạng Đông),"Thuở nhỏ, “Tiểu Vương Tử” và con trai của nhũ mẫu luôn như hình với bóng. Mối tình đầu ngây thơ của họ lặng lẽ nảy nở sau những bức tường cung điện. Thế nhưng, sợi dây gắn kết ấy đã bị chia cắt bởi những lễ nghi hà khắc cùng khoảng cách không thể vượt qua giữa địa vị và trách nhiệm. Nhiều năm sau, khi cả hai trưởng thành trong một vương quốc đang đứng trước ngưỡng cửa thay đổi, một người trở thành vị hoàng tử mang trên vai trách nhiệm và kỳ vọng của hoàng gia, còn người kia lại khao khát một cuộc sống tự do bên ngoài cánh cổng cung điện. Khi số phận đưa họ gặp lại giữa thời khắc đầy biến động trong lịch sử đất nước, những cảm xúc từng bị chôn giấu lại một lần nữa đâm chồi nảy lộc. Nhưng trong một thế giới bị chi phối bởi thứ bậc, danh dự và những quy tắc bất thành văn, tình yêu của họ có thể chính là điều mà vương quốc không bao giờ chấp nhận.Liệu tình yêu có thể thực sự bén rễ trên mảnh đất nơi nó bị cấm đoán ngay từ khi bắt đầu tồn tại?"
vo-von-hien-luong,Vợ Vốn Hiền Lương,"Khi đang điều tra bí mật về nguyên liệu của công ty mỹ phẩm Quốc tế Mỹ Nghiên, Tô Lê không may gặp tai nạn mất trí nhớ. Cô bị nhận nhầm thành Cố Thanh Mai, nàng dâu nhu nhược của nhà họ Hạ. Tại đây, Tô Lê kết đồng minh với Mục Thiếu Trạch, kẻ đang âm thầm báo thù cho bố. Cả hai sát cánh phá bỏ lớp màn bí ẩn, từng bước vạch trần sự thật đằng sau."
chieu-dien-hoa-khai,Chiếu Điện Hoa Khai,"Thánh nữ tộc Thiệu Khương Ngọc Quỳ từ nhỏ đã sống trong ngục tối. Khi hay tin tỷ tỷ chết thảm, nàng mang theo sức mạnh Tư Mệnh quyết tâm báo thù. Được Cửu Thiên Tuế Phong Diệp đưa về bên cạnh, từ chỗ nghi kỵ lẫn nhau, hai người dần nảy sinh tình cảm và cùng hợp sức chống lại bạo quân cùng độc hậu. Nào ngờ người tỷ tỷ năm xưa vẫn còn sống, thậm chí còn là kẻ đứng sau mọi âm mưu. Bao năm sắp đặt chỉ để đoạt lấy hoàng quyền. Khi bí mật về cặp song sinh được phơi bày, yêu hận cuối cùng cũng đối mặt với số mệnh, cùng nhau bước tới ngày hoa nở rực rỡ."
xuyen-khong-thanh-tien-de-he-thong-den-muon-tam-van-nam,"Xuyên Không Thành Tiên Đế, Hệ Thống Đến Muộn Tám Vạn Năm","Sau hàng ngàn năm khổ tu vẫn không thể tiến thêm một bước, Triệu Anh Hùng bắt đầu hoài nghi con đường mình đang đi. Sự xuất hiện của hệ thống mang đến một cơ hội, nhưng cũng đặt ra những câu hỏi lớn. Nhiệm vụ kỳ lạ, phần thưởng hiếm có, tất cả dường như không đơn giản chỉ là cơ duyên. Khi trở về Thanh Vân Tông, chứng kiến sự suy tàn và những biến đổi của người cũ, anh càng nhận ra thời gian có thể thay đổi mọi thứ. Qua từng biến cố, từng trận chiến, anh dần hiểu rằng tu hành không chỉ là truy cầu sức mạnh, mà còn là việc nhìn thấu bản chất của vận mệnh. Và khi Hồng Mông Đạo Vận tích lũy đủ nhiều, câu hỏi lớn nhất hiện ra, liệu anh đang tự do bước đi, hay chỉ đang lần theo một con đường đã được vạch sẵn từ tám vạn năm trước?"
van-tu-hanh,Vân Tú Hành,"&quot;Vân Tú Hành&quot; là một bộ phim cổ trang do Chu Thiếu Kiệt (Chúc Khanh Hảo) đạo diễn, Lý Nhất Đồng (Cuồng Tiêu), Tăng Thuấn Hy (Liên Hoa Lâu), Đặng Vi (Tiêu Sái Giai Nhân Đạm Đạm Trang&quot;) đóng vai chính. Cửu Thành trong truyền thuyết có một vị tiểu thư nghèo xuất thân danh môn Phạm Vân (Lý Nhất Đồng thủ vai) và một vị thành chủ Tề Tranh (Tăng Thuấn Hy thủ vai). Họ từ việc thử thách đối phương cho đến sự tin tưởng lẫn nhau, hai người cùng nhau vượt qua khó khăn để phục vụ nhân dân, cuối cùng họ có được cả tình bằng hữu và tình yêu; Phạm Vân cũng giúp Tề Tranh bình thiên hạ, phá bỏ lễ giáo cũ và giải quyết khủng hoảng ở Cửu Thành, cùng nhau xây dựng một Cửu Thành phồn thịnh."
thanh-hoang-luc-2026,Thành Hoàng Lục,"Tại hiện trường của hàng loạt vụ án con người hóa ác quỷ, camera đều ghi lại hình ảnh một hung thủ có khuôn mặt giống hệt nam chính. Nhận được lệnh truy nã từ Địa phủ, nữ chính lập tức bắt giữ nam chính để áp giải về quy án, chờ Hắc Bạch Vô Thường xét xử. Để rửa sạch oan khuất cho bản thân, nam chính bất đắc dĩ phải dùng kế ép nữ chính cùng mình điều tra chân tướng sự việc. Khi vụ án dần được làm sáng tỏ, cả hai lần lượt vén màn âm mưu đằng sau chuỗi vụ án con người hóa ác quỷ, đồng thời phát hiện mối liên hệ bí ẩn giữa hung thủ và nam chính. Thế nhưng, sự thật cuối cùng còn đáng sợ hơn họ tưởng tượng: hóa ra mọi chuyện từ đầu đến cuối đều nằm trong sự sắp đặt của kẻ chủ mưu đứng sau tất cả..."
nhat-niem-so-kien-cam-y-dao,Nhất Niệm Sơ Kiến Cẩm Y Dao,"Để điều tra chân tướng vụ án oan của cha mình, &quot;nữ thợ săn tiền thưởng&quot; Thẩm Băng Phàm đã gia nhập Bắc Trấn Phủ Ty thuộc Cẩm Y Vệ. Tại đây, cô cùng Trình Hân Điềm và Hoa Mãn Các trở thành những nữ Cẩm Y Vệ tài ba. Trong quá trình điều tra phá án, cô lại liên minh với ông chủ bí ẩn Thường Bắc Minh và cậu tạp dịch Hứa Đa Ngư. Họ cùng nhau đối đầu với các thế lực cường quyền, phá giải hàng loạt kỳ án, từng bước vạch trần sự thật về vụ án năm xưa khi cha cô bị hãm hại..."
nam-thang-ruc-lua,Năm Tháng Rực Lửa,"Chu Triều Dương, một kỹ thuật viên massage chân và là con trai của một phạm nhân cải tạo lao động, bất ngờ xuyên không từ năm 2025 về năm 1997, nhập vào thân xác của cha mình là Chu Nghĩa Hải. Mang theo tư duy hiện đại, Chu Nghĩa Hải liên tiếp vượt qua khó khăn, dẫn dắt anh em gây dựng sự nghiệp và làm giàu. Đồng thời, anh từng bước vạch trần, đập tan âm mưu của tên ác bá địa phương Long Tiếu, từ đó nghịch thiên cải mệnh, viết lại số phận của chính mình."
ho-so-nam-bo,Hồ Sơ Nam Bộ,"Thời kỳ đầu Dân Quốc, trên vùng biển Nam Dương xảy ra vụ án mạng kỳ bí &quot;Thủy quỷ vọng hương&quot;. Hai nhân viên thuộc Cục Lưu trữ Phía Nam - đơn vị chuyên điều tra các sự kiện huyền bí của gia tộc họ Trương là Trương Hải Diêm và Trương Hải Hà được cử đến hiện trường. Không ngờ họ vướng vào một âm mưu tử thần nhằm săn lùng các thành viên họ Trương ở hải ngoại. Trương Hải Hà hy sinh thân mình để mở đường cho Hải Diêm lên chuyến tàu Nam An trở về Hạ Môn, hy vọng đồng đội có cơ hội sống sót. Nhưng chuyến hải trình đầy sóng gió này mới chỉ là khởi đầu: một tên quân phiệt quyền lực, chàng kế toán trẻ ngây thơ nhưng kiên định, cùng người thân thập niên chưa gặp... Hải Diêm đơn độc đối mặt với những biến cố dồn dập. Và khi chân anh chạm đất Hạ Môn, số phận thực sự của hai chàng trai mới bắt đầu thay đổi..."
chi-bang-gap-nhau-mot-lan,Chi Bằng Gặp Nhau Một Lần,"Chuyển thể từ bài hát “Chi Bằng Gặp Nhau Một Lần” của Hải Lai A Mộc, kể 
về mối tình trái ngang đẫm máu, dây dưa ba kiếp giữa Mộ Như Nhất, Công 
chúa Tây Lăng và Lăng Kiêu, Thái tử Đông Thanh. Nàng cứu chàng trong cơn
 hoạn nạn, nhưng chàng lại bắt tay với kẻ thù, quay về nhuốm máu ngày 
thành thân, đẩy họ vào thế đối đầu. Nàng giả chết, giả làm hồn ma báo 
thù. Chàng mụ mị, u mê vì máu đầu tim và cỏ Vong Tình, để rồi số phận 
làm cho yêu hận giữa họ cứ thế đan xen khó rạch ròi. Ba kiếp dây dưa là 
duyên hay nợ, chẳng qua chỉ là ba vở kịch đời này ta diễn cùng người."
cuu-nghia-nhan-yen-van-tu,Cửu Nghĩa Nhân: Yên Vân Tú,"Chủ phường thêu Ngô Liêm cậy quyền cậy thế, mượn tay nghề thêu để hại đời bao nhiêu tú nương. Lận Như Lan bị làm nhục và vu oan, uất ức tự sát nhưng may mắn sống sót. Bạn thân cô là Mạnh Uyển nhẫn nhục chịu đựng ba năm. Dưới sự giúp đỡ của nhiều trang nghĩa hiệp, những cô nương bị Ngô Liêm hại đời đã lấy mồ hôi xương máu làm vũ khí, lấy sự nhẫn nại làm mưu lược, vùng lên từ đường cùng, phá tan quyền mưu độc ác, cuối cùng tự mình rửa sạch oan khuất, trả lại công bằng cho phụ nữ và yên bình cho thế gian."
hanh-gian-thac-tam-gian-thac,Hạnh Gian Thác (Tâm Gian Thác),"Một học giả theo chủ nghĩa duy vật vô tình lạc bước vào lãnh địa của yêu ma, để rồi một lần nữa tìm lại mối ràng buộc linh hồn từ một thế kỷ trước và một tình yêu đã được định sẵn bởi định mệnh."
van-gioi-doc-ton,Vạn Giới Độc Tôn,"Với sự trợ giúp của Phượng Hoàng huyết mạch, Lâm Phong đã vượt qua mọi khó khăndần &nbsp;từng bước tiến lên trên con đường võ đạo. Anh trải qua những thử thách đầy nguy hiểm, chiến đấu với những đối thủ mạnh mẽ. Lâm Phong trở thành một cường giả được tôn kính."
luyen-khi-muoi-van-nam,Luyện Khí Mười Vạn Năm,"Mười vạn năm trước Thiên Lam Tông vang dội giới tu chân, đệ tử trong tông đều là những đứa con của trời, đánh đâu thắng đó. Chỉ có khai sơn đệ tử Từ Dương vẫn luôn ở Luyện Khí kỳ, để đột phá tu vi sớm ngày phi thăng, Từ Dương bế quan vạn năm. Ai ngờ trong thời gian bế quan giới tu chân đã xuống dốc, Thiên Lam Tông cũng chỉ còn vài ba đệ tử, thấy sắp phải đối mặt với diệt tông, Từ Dương đánh bại cường địch, thề sẽ dẫn dắt Thiên Lam Tông quay về đỉnh cao!"
dao-yeu-hanh,Đạo Yêu Hành,"Thánh nữ Thiều Nguyệt của Cửu Tuyền Tông bị sắp đặt thành thân cùng thích khách Giang Nguyên bên Thái Huyền Lâu. Cả hai đều chẳng cam tâm, nhưng vì đại cục hai phái, đành kết thành một đôi phu thê trên danh nghĩa. Bề ngoài là cuộc liên hôn tương xứng giữa hai thế lực lớn, song ẩn dưới lớp vỏ hòa thuận ấy lại là toan tính nhắm vào trọng bảo của nhau. Thông qua thân phận vợ chồng hờ, mỗi người âm thầm dò xét, chờ cơ hội chiếm lấy bí vật của đối phương. Ngay trong đêm hợp cẩn, sát ý đã bùng lên. Nhưng khi lưỡi kiếm chạm nhau, cả hai mới nhận ra đối phương đều mang thân thể bất diệt. Nguyên do nằm ở một bí mật chung: Thiều Nguyệt và Giang Nguyên vốn là kẻ lưu lạc từ tinh cầu khác, quê hương từng bị thế lực mang tên “Hư Vô” hủy diệt. Vì tránh kiếp nạn, họ mới trôi dạt tới thế giới này. Không còn đường lui, hai người tiếp tục duy trì mối quan hệ giả tạo ấy, vừa tìm hiểu bí bảo, vừa cùng nhau chống đỡ những hiểm nguy bủa vây. Thế nhưng sống cạnh nhau giữa sinh tử, từ lúc nào chẳng hay, sự đề phòng dần hóa thành tin tưởng, rồi thành đồng minh kề vai sát cánh. Cuối cùng, mục tiêu của họ không còn dừng ở bảo vật nữa. Thứ họ muốn đối mặt chính là “Hư Vô”, kẻ đã chôn vùi quê hương năm cũ. Giữa thế giới đầy toan tính này, hai con người mang chung quá khứ mất mát bắt đầu tìm kiếm cơ hội xoay chuyển số phận, quyết không để bi kịch lặp lại."
mua-he-nong-nhiet,Mùa Hè Nồng Nhiệt,"Bộ phim kể về câu chuyện cô gái Chu Vãn vì muốn cứu bà mà cố tình tiếp cận chàng trai Lục Tây Kiêu. Trong quá trình cứu rỗi lẫn nhau, cả hai dần nảy sinh tình cảm nhưng lại phải chia cắt vì hiện thực. Mười năm sau gặp lại, mối tình đầy rối ren đó được họ lấy danh nghĩa “trả thù” để lần nữa thắp lại ngọn lửa tình yêu."
phia-ben-kia-thanh-pho,Phía Bên Kia Thành Phố,"Phim lấy bối cảnh một khu phố lao động ven đô, xoay quanh đôi bạn thân trái tính trái nết là Cương và Khuê. Cả hai cùng trải qua những biến động tâm lý tuổi học đường, áp lực thành tích và rạn nứt tình cảm khi một cô bạn mới xuất hiện, khơi lại những bí mật quá khứ của gia đình họ."
duoi-o-cua-sang-den,Dưới Ô Cửa Sáng Đèn,"&quot;Dưới ô cửa sáng đèn&quot; khắc họa cuộc sống đầy trăn trở của những người hàng xóm tại khu tập thể cũ Hà Nội, nơi tình làng nghĩa xóm vượt qua những áp lực thời đại. Phim tập trung vào nhân vật Sinh cùng những câu chuyện đời thường, vất vả mưu sinh và sự gắn kết con người trong bối cảnh khu tập thể chờ giải tỏa."
meitantei-precure,Meitantei Precure!,"Cốt truyện xoay quanh Anna Akechi, một nữ sinh 14 tuổi sống tại thành phố Makoto Mirai vào năm 2027. Vào ngày sinh nhật của mình, Anna được dẫn dắt bởi một tiên nữ tên là Pochitan và một chiếc mặt dây chuyền bí ẩn, khiến cô bị du hành ngược thời gian về thành phố Makoto Mirai của năm 1999. Tại đây, Anna gặp gỡ Mikuru Kobayashi, một cô gái trẻ đầy nhiệt huyết với ước mơ trở thành thám tử lừng danh. Khi một vụ trộm kỳ lạ xảy ra do những kẻ được gọi là &quot;Băng trộm bóng đêm&quot; (Phantom Thieves) thực hiện, cả hai đã cùng nhau biến hình thành các chiến binh nòng cốt"
